year,state,registered_users,app_opens
2019,delhi,6165448,43731570
2019,uttarakhand,1414339,7454279
2019,puducherry,177868,2476922
2019,tamil nadu,8428835,124690342
2019,uttar pradesh,16044607,268142606
2019,madhya pradesh,8180664,192353380
2019,andhra pradesh,10458693,310953542
2019,tripura,245456,3350991
2019,lakshadweep,2117,15038
2019,manipur,136316,1594205
2019,maharashtra,21313081,439998413
2019,dadra & nagar haveli & daman & diu,176929,3126189
2019,meghalaya,87395,1387814
2019,andaman & nicobar islands,23931,171107
2019,haryana,5783752,118332587
2019,rajasthan,9797304,238338999
2019,ladakh,39173,503126
2019,punjab,2962713,40860886
2019,assam,1731523,25393673
2019,jharkhand,2915511,55504460
2019,odisha,5387209,130181456
2019,bihar,7380265,126521298
2019,kerala,2990963,31471694
2019,karnataka,13635075,445683660
2019,chandigarh,267337,4625196
2019,telangana,10090557,318124511
2019,himachal pradesh,876184,10720741
2019,west bengal,9643222,176559011
2019,gujarat,8429299,129441484
2019,sikkim,82128,1316804
2019,nagaland,80077,1244022
2019,mizoram,34134,457834
2019,chhattisgarh,2435058,46362341
2019,jammu & kashmir,658455,3843919
2019,goa,317194,4753892
2019,arunachal pradesh,112149,1811700
2019,delhi,6782286,163381027
2019,uttarakhand,1585859,24660988
2019,puducherry,204292,3263122
2019,tamil nadu,9620493,155011717
2019,uttar pradesh,17949542,324068625
2019,madhya pradesh,9165241,237844976
2019,andhra pradesh,11757883,411201518
2019,tripura,272298,3610807
2019,lakshadweep,2427,17760
2019,manipur,155358,1855488
2019,maharashtra,23745297,543654112
2019,dadra & nagar haveli & daman & diu,197598,3770543
2019,meghalaya,100030,1490542
2019,andaman & nicobar islands,25960,177012
2019,haryana,6366679,136721888
2019,rajasthan,10925031,288904693
2019,ladakh,43108,470440
2019,punjab,3321742,47673880
2019,assam,1941220,26599449
2019,jharkhand,3281371,70181789
2019,odisha,6115537,189905719
2019,bihar,8342274,163998097
2019,kerala,3503938,40046033
2019,karnataka,15385416,569674870
2019,chandigarh,289590,4960441
2019,telangana,11220691,399239044
2019,himachal pradesh,985945,12637904
2019,west bengal,10885058,244326613
2019,gujarat,9323799,147973757
2019,sikkim,92972,1552004
2019,nagaland,93124,1454551
2019,mizoram,39809,529168
2019,chhattisgarh,2725900,57278977
2019,jammu & kashmir,673367,998572
2019,goa,353546,6290543
2019,arunachal pradesh,129321,2140340
2019,delhi,7289883,172682671
2019,uttarakhand,1752677,28853867
2020,puducherry,230908,3820943
2020,tamil nadu,10872368,179908753
2020,uttar pradesh,20136256,374282083
2020,madhya pradesh,10151371,262452480
2020,andhra pradesh,13022060,486513773
2020,tripura,299962,4063223
2020,lakshadweep,2772,21982
2020,manipur,177374,2175642
2020,maharashtra,26168390,615146568
2020,dadra & nagar haveli & daman & diu,218496,4195122
2020,meghalaya,113814,1716211
2020,andaman & nicobar islands,28368,193586
2020,haryana,7018770,157793468
2020,rajasthan,12142053,341815756
2020,ladakh,47790,590484
2020,punjab,3739502,53853710
2020,assam,2185938,33097892
2020,jharkhand,3651393,74014713
2020,odisha,6652970,175918622
2020,bihar,9351234,183868505
2020,kerala,4078316,46396398
2020,karnataka,17016980,626488036
2020,chandigarh,312887,5201211
2020,telangana,12306860,454723816
2020,himachal pradesh,1106025,14640104
2020,west bengal,11960822,207068218
2020,gujarat,10259843,165605122
2020,sikkim,104631,1697163
2020,nagaland,107143,1684520
2020,mizoram,46499,644683
2020,chhattisgarh,3016487,64224101
2020,jammu & kashmir,735408,4476894
2020,goa,391900,7147233
2020,arunachal pradesh,149066,2598321
2020,delhi,7826197,178263986
2020,uttarakhand,1943606,32631265
2020,puducherry,255600,3057608
2020,tamil nadu,12150786,144907447
2020,uttar pradesh,22498519,383703534
2020,madhya pradesh,11374423,253770044
2020,andhra pradesh,14319675,494341698
2020,tripura,336666,4443221
2020,lakshadweep,3187,29202
2020,manipur,215496,3011491
2020,maharashtra,28765086,506354812
2020,dadra & nagar haveli & daman & diu,244814,4505127
2020,meghalaya,136211,2205253
2020,andaman & nicobar islands,32710,305072
2020,haryana,7682878,143650123
2020,rajasthan,13563201,329941181
2020,ladakh,53034,695673
2020,punjab,4225481,51289576
2020,assam,2550883,39304924
2020,jharkhand,4061035,76339276
2020,odisha,7258315,154682772
2020,bihar,10603767,218435035
2020,kerala,4728844,45832953
2020,karnataka,18655366,490510075
2020,chandigarh,336351,3451250
2020,telangana,13378191,367130505
2020,himachal pradesh,1249867,16125580
2020,west bengal,13222022,198589332
2020,gujarat,11392657,155264359
2020,sikkim,119921,1912335
2020,nagaland,130205,2119279
2020,mizoram,55574,739308
2020,chhattisgarh,3401658,68493384
2020,jammu & kashmir,845294,9856653
2020,goa,430639,5310126
2020,arunachal pradesh,177534,3387006
2020,delhi,8391139,142852253
2020,uttarakhand,2148567,31074793
2020,puducherry,285173,4222159
2020,tamil nadu,13643451,194683284
2020,uttar pradesh,24838116,450784508
2020,madhya pradesh,12564224,324850994
2020,andhra pradesh,15692405,696300382
2020,tripura,376731,5777908
2020,lakshadweep,3644,32128
2020,manipur,258563,3552375
2020,maharashtra,31409513,668197101
2020,dadra & nagar haveli & daman & diu,267946,4421499
2020,meghalaya,157741,2384534
2020,andaman & nicobar islands,41335,515565
2020,haryana,8398816,188614769
2020,rajasthan,14969412,436682870
2020,ladakh,58401,1015680
2020,punjab,4694233,58946732
2020,assam,2830011,41875278
2020,jharkhand,4480027,99318784
2020,odisha,7901755,205597666
2020,bihar,11763213,266652644
2020,kerala,5582300,64309022
2020,karnataka,20487550,693683212
2020,chandigarh,362588,4888739
2020,telangana,14590882,527781925
2020,himachal pradesh,1378634,18411750
2020,west bengal,14448366,246554831
2020,gujarat,12467847,184402472
2020,sikkim,134773,2156470
2020,nagaland,173106,2868642
2020,mizoram,68315,924865
2020,chhattisgarh,3799386,86918606
2020,jammu & kashmir,949819,11443454
2020,goa,474962,6129766
2020,arunachal pradesh,206046,4003421
2020,delhi,9044174,190025029
2020,uttarakhand,2365438,40377348
2020,puducherry,319626,6377136
2020,tamil nadu,15357586,288233552
2020,uttar pradesh,27249134,552220798
2020,madhya pradesh,13737947,405571446
2020,andhra pradesh,17076565,869078538
2020,tripura,409110,6017249
2020,lakshadweep,4179,41144
2020,manipur,288772,3783432
2020,maharashtra,34432631,952006770
2020,dadra & nagar haveli & daman & diu,296493,6196436
2020,meghalaya,176447,2745917
2020,andaman & nicobar islands,52396,887208
2020,haryana,9129873,236101307
2020,rajasthan,16329494,511015109
2020,ladakh,64853,1232757
2020,punjab,5157868,71191183
2020,assam,3106153,49321814
2020,jharkhand,4917938,126310835
2020,odisha,8598751,270085293
2020,bihar,12889833,317056600
2020,kerala,6387169,91415273
2020,karnataka,22400182,935510690
2020,chandigarh,391402,6477974
2020,telangana,15927797,764614235
2020,himachal pradesh,1508766,22001148
2020,west bengal,15662093,291721919
